Date,Price,Open,High,Low,Vol.,Change %
11/09/2017,208.52,207.79,209.49,207.62,,0.00%
11/08/2017,208.52,206.97,208.89,206.94,,0.74%
11/07/2017,206.98,205.07,207.27,205.07,,0.92%
11/06/2017,205.09,202.72,205.8,202.72,,1.53%
11/03/2017,202.0,201.01,202.37,200.57,,-0.10%
11/02/2017,202.21,200.88,203.35,200.88,,0.88%
11/01/2017,200.44,200.98,201.19,200.08,,-0.05%
10/31/2017,200.55,199.34,200.56,198.63,,0.29%
10/30/2017,199.97,198.74,201.01,198.61,,0.58%
10/27/2017,198.81,198.04,199.43,196.73,,0.24%
10/26/2017,198.34,199.88,200.14,197.72,,-0.55%
10/25/2017,199.44,200.04,200.11,198.31,,-0.28%
10/24/2017,200.0,201.25,201.38,199.31,,-0.63%
10/23/2017,201.26,202.26,202.43,201.09,,-0.41%
10/20/2017,202.08,202.49,202.53,201.32,,-0.11%
10/19/2017,202.31,202.19,202.8,201.54,,-0.09%
10/18/2017,202.5,202.72,203.11,202.14,,-0.17%
10/17/2017,202.85,202.51,202.94,202.17,,0.01%
10/16/2017,202.82,203.67,203.87,202.67,,-0.44%
10/13/2017,203.72,203.99,204.29,203.03,,0.20%
10/12/2017,203.32,201.84,203.33,201.67,,0.69%
10/11/2017,201.93,200.89,202.16,200.87,,0.54%
10/10/2017,200.85,200.78,202.03,200.42,,0.21%
10/09/2017,200.42,200.13,200.87,199.76,,0.12%
10/06/2017,200.18,199.57,200.22,198.2,,-0.20%
10/05/2017,200.59,200.3,201.34,200.24,,0.32%
10/04/2017,199.95,198.05,200.07,197.94,,0.83%
10/03/2017,198.3,198.36,198.8,197.85,,-0.05%
10/02/2017,198.39,199.41,199.82,198.3,,-0.41%
09/29/2017,199.2,198.62,199.35,198.11,,0.08%
09/28/2017,199.05,197.58,199.13,197.33,,0.61%
09/27/2017,197.84,199.24,199.24,197.23,,-0.84%
09/26/2017,199.52,199.4,200.08,199.19,,0.12%
09/25/2017,199.29,198.68,199.9,198.68,,0.33%
09/22/2017,198.64,200.06,200.71,198.4,,-0.82%
09/21/2017,200.29,200.66,201.64,200.29,,-0.22%
09/20/2017,200.73,201.46,202.04,199.81,,-0.27%
09/19/2017,201.28,203.45,203.5,200.79,,-1.03%
09/18/2017,203.38,204.48,204.8,202.87,,-0.51%
09/15/2017,204.43,203.94,204.51,202.91,,0.28%
09/14/2017,203.85,202.39,203.91,201.42,,0.58%
09/13/2017,202.68,203.41,203.41,201.97,,-0.40%
09/12/2017,203.5,205.66,205.81,202.76,,-1.18%
09/11/2017,205.93,204.73,205.98,204.7,,0.74%
