Date,Price,Open,High,Low,Vol.,Change %
11/03/2017,279.94,278.38,281.23,278.14,,0.37%
11/02/2017,278.92,278.31,279.99,277.12,,0.41%
11/01/2017,277.78,279.9,279.9,277.34,,-0.56%
10/31/2017,279.35,278.85,279.98,278.25,,0.05%
10/30/2017,279.22,278.9,279.79,278.32,,0.02%
10/27/2017,279.17,277.14,279.86,276.75,,0.61%
10/26/2017,277.47,278.59,280.08,277.44,,0.00%
10/25/2017,277.47,278.2,278.2,274.14,,-0.44%
10/24/2017,278.69,278.47,278.92,277.25,,0.08%
10/23/2017,278.47,278.38,278.92,277.23,,0.05%
10/20/2017,278.32,277.83,278.73,276.98,,0.13%
10/19/2017,277.97,275.45,278.0,275.45,,1.01%
10/18/2017,275.19,275.36,275.56,274.08,,-0.15%
10/17/2017,275.6,274.14,276.16,273.1,,0.58%
10/16/2017,274.0,274.31,275.04,271.8,,-0.17%
10/13/2017,274.48,276.87,277.7,273.81,,-0.76%
10/12/2017,276.58,275.23,277.19,275.05,,0.50%
10/11/2017,275.21,273.61,276.43,273.51,,0.47%
10/10/2017,273.92,271.55,273.96,271.05,,0.98%
10/09/2017,271.26,271.21,271.98,270.94,,0.14%
10/06/2017,270.89,270.11,271.0,268.95,,-0.06%
10/05/2017,271.06,271.37,271.58,269.84,,-0.12%
10/04/2017,271.39,268.61,271.43,268.02,,1.06%
10/03/2017,268.54,269.25,269.29,267.03,,-0.38%
10/02/2017,269.57,269.55,270.66,268.59,,0.22%
09/29/2017,268.97,269.12,270.04,268.01,,-0.11%
09/28/2017,269.27,267.73,269.85,266.6,,0.31%
09/27/2017,268.45,270.8,271.2,267.1,,-1.35%
09/26/2017,272.11,272.21,272.99,271.54,,-0.15%
09/25/2017,272.53,270.31,272.8,269.97,,0.84%
09/22/2017,270.25,272.68,272.91,270.1,,-0.72%
09/21/2017,272.2,272.52,274.03,272.01,,-0.09%
09/20/2017,272.45,275.26,275.47,271.46,,-0.78%
09/19/2017,274.58,275.35,275.6,274.09,,-0.21%
09/18/2017,275.17,277.85,277.86,273.26,,-0.98%
09/15/2017,277.9,277.65,278.76,276.7,,0.10%
09/14/2017,277.62,274.96,277.73,274.36,,0.87%
09/13/2017,275.22,276.6,276.66,275.17,,-0.53%
09/12/2017,276.69,281.22,281.32,275.23,,-1.75%
09/11/2017,281.62,278.9,281.82,278.57,,0.93%
09/08/2017,279.03,277.65,279.31,276.88,,0.44%
09/07/2017,277.8,276.1,278.05,275.75,,0.72%
09/06/2017,275.81,277.82,277.89,275.48,,-0.52%
09/05/2017,277.26,276.73,277.35,275.63,,0.29%
09/01/2017,276.45,277.68,278.11,275.67,,-0.30%
08/31/2017,277.28,277.36,278.03,277.16,,0.02%
08/30/2017,277.22,277.94,278.05,276.92,,-0.43%
08/29/2017,278.43,279.04,279.71,278.27,,-0.15%
08/28/2017,278.85,278.66,279.26,277.56,,0.23%
08/25/2017,278.22,278.06,279.37,277.47,,0.31%
08/24/2017,277.37,277.45,278.12,276.96,,-0.08%
08/23/2017,277.59,276.6,277.74,275.75,,0.26%
08/22/2017,276.88,276.36,277.01,275.58,,0.20%
08/21/2017,276.33,275.78,276.76,275.05,,0.33%
08/18/2017,275.43,273.68,276.61,272.9,,0.63%
08/17/2017,273.71,275.65,275.97,273.52,,-0.77%
08/16/2017,275.83,274.76,276.03,274.56,,0.32%
08/15/2017,274.95,272.9,275.22,272.76,,0.50%
08/14/2017,273.58,272.24,273.7,271.97,,0.58%
08/11/2017,272.0,273.29,273.58,271.15,,-0.64%
08/10/2017,273.76,272.87,274.33,271.99,,0.25%
08/09/2017,273.07,274.94,274.94,272.81,,-0.50%
08/08/2017,274.43,272.97,274.46,272.71,,0.33%
08/07/2017,273.53,272.97,273.6,272.32,,0.20%
08/04/2017,272.98,272.91,273.33,271.27,,-0.29%
08/03/2017,273.78,272.15,273.81,271.68,,0.42%
08/02/2017,272.63,270.66,272.64,269.22,,0.46%
08/01/2017,271.39,270.21,271.94,270.21,,0.50%
07/31/2017,270.04,269.05,270.57,268.34,,0.38%
07/28/2017,269.03,269.18,269.8,267.83,,-0.14%
07/27/2017,269.41,268.37,269.43,267.76,,0.22%
07/26/2017,268.82,266.43,268.84,265.92,,0.88%
07/25/2017,266.48,267.94,268.0,266.04,,-0.51%
07/24/2017,267.84,270.34,270.34,267.46,,-0.93%
07/21/2017,270.35,268.17,270.37,267.59,,0.76%
07/20/2017,268.3,266.98,268.48,266.61,,0.66%
07/19/2017,266.53,265.8,266.62,265.16,,0.47%
